63,Republic of Congo,0,0,0,1,0,1,0,0,0,1,0,1,1,0,1
64,Republic of Korea,0,0,0,26,0,26,11,0,11,37,0,37,26,0,26
65,Republic of Lithuania,0,0,0,0,0,0,1,0,1,1,0,1,0,0,0
66,Romania,924,124,1048,163,17,180,53,10,63,1140,151,1291,1087,141,1228
67,Russia,0,0,0,0,0,0,5,0,5,5,0,5,0,0,0
68,Rwanda,0,0,0,0,0,0,1,0,1,1,0,1,0,0,0

69,Saudi Arabia,6292,28,6320,11,0,11,4706,67,4773,11009,95,11104,6303,28,6331
70,Serbia,0,0,0,24,29,53,0,0,0,24,29,53,24,29,53
71,Seychelles,0,0,0,21,3,24,21,2,23,42,5,47,21,3,24
72,Sierra Leone,0,0,0,2,0,2,0,0,0,2,0,2,2,0,2
73,Singapore,0,0,0,16,1,17,0,0,0,16,1,17,16,1,17
74,Slovakia(Republic of Slovak),0,0,0,3,0,3,0,0,0,3,0,3,3,0,3
75,Slovenia,0,0,0,2,0,2,0,0,0,2,0,2,2,0,2
76,SOMALIA,0,0,0,0,0,0,2,0,2,2,0,2,0,0,0
77,South Africa,0,0,0,3,0,3,0,0,0,3,0,3,3,0,3
78,Spain,0,0,0,1,0,1,0,0,0,1,0,1,1,0,1
79,Sri Lanka,0,0,0,2,1,3,0,0,0,2,1,3,2,1,3
80,Sweden,0,0,0,0,1,1,0,0,0,0,1,1,0,1,1
81,Tanzania,0,0,0,1,0,1,1,0,1,2,0,2,1,0,1
82,Thailand,0,0,0,1,1,2,2,0,2,3,1,4,1,1,2
83,Togo,0,0,0,4,0,4,0,0,0,4,0,4,4,0,4
84,Turkey,0,0,0,16,3,19,3,12,15,19,15,34,16,3,19
85,Turkmenistan,0,0,0,0,0,0,1,0,1,1,0,1,0,0,0
86,Turks and Caicos Island,0,0,0,4,0,4,1,0,1,5,0,5,4,0,4
87,UAE,2007,588,2595,757,200,957,4437,775,5212,7201,1563,8764,2764,788,3552
88,Uganda,0,0,0,0,0,0,3,0,3,3,0,3,0,0,0
89,United Kingdom,0,0,0,378,87,465,1,0,1,379,87,466,378,87,465
90,USA,0,0,0,21,4,25,4,1,5,25,5,30,21,4,25
91,Vietnam,0,0,0,0,0,0,2,0,2,2,0,2,0,0,0
,Grand Total,31905,3198,35103,3687,952,4639,21426,1685,23111,57018,5835,62853,35592,4150,39742

,,,Districtwise Labour Approval for Ashad 2079 (2022-06-15 to 2022-07-16),,,,,,,,,,,,,
,,Recruiting Agency,,,Individual-New,,,Individual-ReEntry,,,Total with ReEntry,,,Total without ReEntry,,
S.N.,Country,Male,Female,Total,Male,Female,Total,Male,Female,Total,Male,Female,Total,Male,Female,Total
1,Achham,38,3,41,10,0,10,23,0,23,71,3,74,48,3,51
2,Arghakhanchi,284,10,294,46,10,56,251,8,259,581,28,609,330,20,350
3,Baglung,396,13,409,143,11,154,449,6,455,988,30,1018,539,24,563
4,Baitadi,171,5,176,4,2,6,57,1,58,232,8,240,175,7,182
5,Bajhang,31,1,32,3,2,5,17,0,17,51,3,54,34,3,37
6,Bajura,34,3,37,4,0,4,12,2,14,50,5,55,38,3,41
7,Banke,429,24,453,36,11,47,265,15,280,730,50,780,465,35,500
8,Bara,742,40,782,57,11,68,330,24,354,1129,75,1204,799,51,850
9,Bardiya,381,20,401,29,10,39,171,8,179,581,38,619,410,30,440
10,Bhaktapur,45,15,60,21,9,30,54,16,70,120,40,160,66,24,90
11,Bhojpur,373,40,413,34,7,41,215,17,232,622,64,686,407,47,454
12,Chitwan,532,65,597,98,33,131,487,51,538,1117,149,1266,630,98,728
13,Dadeldhura,86,6,92,12,1,13,33,2,35,131,9,140,98,7,105
14,Dailekh,131,4,135,15,2,17,78,3,81,224,9,233,146,6,152
15,Dang,838,62,900,60,9,69,344,30,374,1242,101,1343,898,71,969
16,Darchula,77,1,78,7,1,8,26,2,28,110,4,114,84,2,86
17,Dhading,508,112,620,61,28,89,225,34,259,794,174,968,569,140,709
18,Dhankuta,298,37,335,27,7,34,153,24,177,478,68,546,325,44,369
19,DHANUSHA,1933,6,1939,81,5,86,1584,5,1589,3598,16,3614,2014,11,2025
20,Dolakha,206,48,254,49,13,62,115,40,155,370,101,471,255,61,316
21,Dolpa,7,0,7,1,1,2,1,3,4,9,4,13,8,1,9
22,Doti,62,1,63,7,1,8,25,0,25,94,2,96,69,2,71
23,Gorkha,468,56,524,95,18,113,312,23,335,875,97,972,563,74,637
24,Gulmi,340,12,352,156,18,174,452,24,476,948,54,1002,496,30,526
25,Humla,5,1,6,1,1,2,2,0,2,8,2,10,6,2,8
26,Ilam,359,79,438,30,14,44,223,44,267,612,137,749,389,93,482
27,Jajarkot,93,4,97,4,0,4,29,2,31,126,6,132,97,4,101
28,Jhapa,1178,365,1543,134,72,206,992,161,1153,2304,598,2902,1312,437,1749
29,Jumla,29,0,29,2,0,2,9,0,9,40,0,40,31,0,31
30,Kailali,307,14,321,27,5,32,138,9,147,472,28,500,334,19,353
31,Kalikot,21,1,22,0,1,1,11,0,11,32,2,34,21,2,23
32,Kanchanpur,321,5,326,36,4,40,157,2,159,514,11,525,357,9,366
33,Kapilvastu,652,8,660,71,3,74,675,10,685,1398,21,1419,723,11,734
34,Kaski,393,47,440,193,40,233,459,25,484,1045,112,1157,586,87,673
35,Kathmandu,144,98,242,90,49,139,183,85,268,417,232,649,234,147,381
36,Kavrepalanchok,463,168,631,74,52,126,232,61,293,769,281,1050,537,220,757
37,Khotang,455,43,498,31,13,44,289,24,313,775,80,855,486,56,542
38,Lalitpur,104,44,148,27,22,49,83,34,117,214,100,314,131,66,197
39,Lamjung,274,23,297,74,12,86,261,11,272,609,46,655,348,35,383
40,Mahottari,1619,12,1631,93,1,94,1072,5,1077,2784,18,2802,1712,13,1725
41,Makawanpur,481,185,666,39,21,60,174,84,258,694,290,984,520,206,726
42,Manang,2,1,3,1,0,1,0,2,2,3,3,6,3,1,4
43,Morang,1195,242,1437,136,56,192,853,98,951,2184,396,2580,1331,298,1629
44,Mugu,19,1,20,4,0,4,3,1,4,26,2,28,23,1,24
45,Mustang,2,2,4,5,5,10,5,0,5,12,7,19,7,7,14
46,Myagdi,189,23,212,76,11,87,143,9,152,408,43,451,265,34,299
47,NAWALPARASI,985,45,1030,151,42,193,714,43,757,1850,130,1980,1136,87,1223
48,Nuwakot,363,132,495,50,33,83,193,51,244,606,216,822,413,165,578
49,Okhaldhunga,241,37,278,23,5,28,103,6,109,367,48,415,264,42,306
50,Palpa,398,18,416,60,6,66,358,10,368,816,34,850,458,24,482
51,Panchthar,411,46,457,23,5,28,229,22,251,663,73,736,434,51,485
52,Parbat,190,14,204,50,10,60,255,7,262,495,31,526,240,24,264
53,Parsa,341,12,353,25,5,30,240,16,256,606,33,639,366,17,383
54,Pyuthan,335,5,340,21,2,23,188,8,196,544,15,559,356,7,363
55,Ramechhap,292,68,360,35,14,49,138,55,193,465,137,602,327,82,409
56,Rasuwa,52,14,66,7,5,12,9,14,23,68,33,101,59,19,78
57,Rautahat,885,19,904,36,10,46,453,10,463,1374,39,1413,921,29,950
58,Rolpa,516,16,532,18,7,25,236,6,242,770,29,799,534,23,557
59,Rukum,415,12,427,25,6,31,93,7,100,533,25,558,440,18,458
60,Rupandehi,762,29,791,143,22,165,804,36,840,1709,87,1796,905,51,956

61,Salyan,524,15,539,9,3,12,129,8,137,662,26,688,533,18,551
62,Sankhuwasabha,301,25,326,24,10,34,128,15,143,453,50,503,325,35,360
63,Saptari,1085,4,1089,52,0,52,791,4,795,1928,8,1936,1137,4,1141
64,Sarlahi,1310,54,1364,70,7,77,625,26,651,2005,87,2092,1380,61,1441
65,Sindhuli,457,81,538,27,6,33,197,30,227,681,117,798,484,87,571
66,Sindhupalchok,437,215,652,58,37,95,174,102,276,669,354,1023,495,252,747
67,Siraha,1403,11,1414,79,1,80,1205,3,1208,2687,15,2702,1482,12,1494
68,Solukhumbu,138,57,195,36,15,51,52,17,69,226,89,315,174,72,246
69,Sunsari,910,121,1031,126,35,161,751,82,833,1787,238,2025,1036,156,1192
70,Surkhet,333,11,344,45,5,50,109,6,115,487,22,509,378,16,394
71,Syangja,442,23,465,125,14,139,591,20,611,1158,57,1215,567,37,604
72,Tanahun,642,41,683,91,30,121,520,26,546,1253,97,1350,733,71,804
73,Taplejung,228,26,254,19,9,28,99,7,106,346,42,388,247,35,282
74,TEHRATHUM,208,14,222,20,4,24,118,14,132,346,32,378,228,18,246
75,UDAYAPUR,586,83,669,35,12,47,252,29,281,873,124,997,621,95,716
,Grand Total,31905,3198,35103,3687,952,4639,21426,1685,23111,57018,5835,62853,35592,4150,39742

,,,Government of Nepal,,,,
,,,"Ministry of Labour, Employment and Social Security",,,,
,,,Department of Foreign Employemnt,,,,
,,,Kathmandu,,,,
,,,Report on Prepermission List,from 2022-06-15 to 2022-07-16,,,
S.N,Country,Lot No,Name,,Male,Female,Total
1,ALBANIA,267046,Mount Everest International Overseas Pvt. Ltd.,,54,20,74
2,Bahrain,264752,AL AMAL OVERSEAS PVT. LTD.,,270,70,340
3,Bahrain,265771,ASLESHA INTERNATIONAL PVT LTD,,7,3,10
