,Recruiting Agency,,,Individual-New,,,Individual-Legalization,,,Individual-ReEntry,,,Total with ReEntry,,,Total without ReEntry,,
Country,Male,Female,Total,Male,Female,Total,Male,Female,Total,Male,Female,Total,Male,Female,Total,Male,Female,Total
South Africa,0,0,0,0,0,0,0,0,0,1,0,1,1,0,1,0,0,0
Spain,0,0,0,2,0,2,0,0,0,0,0,0,2,0,2,2,0,2
Sri Lanka,0,0,0,4,1,5,0,0,0,0,0,0,4,1,5,4,1,5
Tanzania,0,0,0,0,0,0,1,0,1,1,0,1,2,0,2,1,0,1
Thailand,0,0,0,3,0,3,0,0,0,5,0,5,8,0,8,3,0,3
Turkey,0,0,0,11,1,12,0,0,0,3,7,10,14,8,22,11,1,12
Turks and Caicos Island,0,0,0,1,0,1,0,0,0,1,0,1,2,0,2,1,0,1
UAE,2553,1029,3582,783,223,1006,122,32,154,5611,814,6425,9069,2098,11167,3458,1284,4742
Uganda,0,0,0,2,0,2,0,0,0,2,0,2,4,0,4,2,0,2
United Kingdom,16,0,16,989,158,1147,1,1,2,1,0,1,1007,159,1166,1006,159,1165
USA,0,0,0,22,2,24,4,1,5,6,0,6,32,3,35,26,3,29
ZAMBIA,0,0,0,0,0,0,0,0,0,3,0,3,3,0,3,0,0,0
Total,26039,3343,29382,3746,732,4478,190,37,227,26602,1660,28262,56577,5772,62349,29975,4112,34087
