,Recruiting Agency,,,Individual-New,,,Individual-ReEntry,,,Total with ReEntry,,,Total without ReEntry,,,,,
Country,Male,Female,Total,Male,Female,Total,Male,Female,Total,Male,Female,Total,Male,Female,Total,,,
Sweden,0,0,0,0,1,1,0,0,0,0,1,1,0,1,1,,,
Tanzania,0,0,0,0,0,0,2,0,2,2,0,2,0,0,0,,,
Thailand,0,0,0,1,0,1,1,0,1,2,0,2,1,0,1,,,
Turkey,0,0,0,8,0,8,3,5,8,11,5,16,8,0,8,,,
UAE,2404,1039,3443,717,225,942,3301,679,3980,6422,1943,8365,3121,1264,4385,,,
Uganda,0,0,0,3,0,3,0,0,0,3,0,3,3,0,3,,,
United Kingdom,0,0,0,378,99,477,1,0,1,379,99,478,378,99,477,,,
USA,0,0,0,19,4,23,0,1,1,19,5,24,19,4,23,,,
Vietnam,0,0,0,0,0,0,2,0,2,2,0,2,0,0,0,,,
ZAMBIA,0,0,0,2,0,2,2,0,2,4,0,4,2,0,2,,,
Total,45485,4565,50050,6088,1555,7643,17311,1399,18710,68884,7519,76403,51573,6120,57693,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
