,,,,,Countrywise Labour Approval for Falgun 2079,,,,,,,,,,,,,,
,,Recruiting Agency,,,Individual-New,,,,G-to-G,,Individual-ReEntry,,,Total with ReEntry,,,Total without ReEntry,,
S.N.Country,,Male,Female,Total,Male,Female,Total,Male,Female,Total,Male,Female,Total,Male,Female,Total,Male,Female,Total
69,REPUBLIC OF SEYCHELLES,0,0,0,1,0,1,0,0,0,0,0,0,1,0,1,1,0,1
70,Romania,586,65,651,247,47,294,0,0,0,112,13,125,945,125,1070,833,112,945
71,Russia,0,0,0,15,1,16,0,0,0,7,0,7,22,1,23,15,1,16
72,Rwanda,0,0,0,1,0,1,0,0,0,0,0,0,1,0,1,1,0,1
73,Saudi Arabia,4795,2,4797,9,0,9,0,0,0,4628,69,4697,9432,71,9503,4804,2,4806
74,Serbia,0,0,0,47,32,79,0,0,0,0,0,0,47,32,79,47,32,79
75,Seychelles,0,0,0,17,2,19,0,0,0,14,2,16,31,4,35,17,2,19
76,Singapore,0,0,0,39,1,40,0,0,0,0,0,0,39,1,40,39,1,40
77,Slovenia,0,0,0,14,0,14,0,0,0,0,0,0,14,0,14,14,0,14
78,SOMALIA,0,0,0,0,0,0,0,0,0,1,0,1,1,0,1,0,0,0
79,South Sudan,0,0,0,1,0,1,0,0,0,1,0,1,2,0,2,1,0,1
80,Spain,0,0,0,1,0,1,0,0,0,0,0,0,1,0,1,1,0,1
81,Sri Lanka,0,0,0,0,1,1,0,0,0,0,0,0,0,1,1,0,1,1
82,Tajikistan,0,0,0,0,0,0,0,0,0,1,0,1,1,0,1,0,0,0
83,Thailand,0,0,0,4,1,5,0,0,0,2,0,2,6,1,7,4,1,5
84,Turkey,0,0,0,3,0,3,0,0,0,12,6,18,15,6,21,3,0,3
85,Turks and Caicos Island,0,0,0,1,0,1,0,0,0,1,0,1,2,0,2,1,0,1
86,UAE,2683,874,3557,1069,294,1363,0,0,0,4139,736,4875,7891,1904,9795,3752,1168,4920
87,Uganda,0,0,0,1,0,1,0,0,0,0,0,0,1,0,1,1,0,1
88,United Kingdom,5,0,5,104,61,165,0,0,0,3,2,5,112,63,175,109,61,170
89,USA,0,0,0,23,5,28,0,0,0,1,0,1,24,5,29,23,5,28
90,ZAMBIA,0,0,0,3,0,3,0,0,0,3,1,4,6,1,7,3,0,3
,Total,27106,2182,29288,4380,1156,5536,2083,87,2170,23150,1701,24851,56719,5126,61845,33569,3425,36994
,,,,,Districtwise Labour Approval for Falgun 2079,,,,,,,,,,,,,,
,,Recruiting Agency,,,Individual-New,,,,G-to-G,,Individual-ReEntry,,,Total with ReEntry,,,Total without ReEntry,,
S.N.District,,Male,Female,Total,Male,Female,Total,Male,Female,Total,Male,Female,Total,Male,Female,Total,Male,Female,Total
1,ACHHAM,249,23,272,21,3,24,10,0,10,19,0,19,299,26,325,280,26,306
2,ARGHAKHANCHI,442,24,466,87,18,105,36,1,37,263,7,270,828,50,878,565,43,608
3,BAGLUNG,573,30,603,128,16,144,73,0,73,419,8,427,1193,54,1247,774,46,820
4,BAITADI,440,14,454,29,3,32,22,0,22,44,1,45,535,18,553,491,17,508
5,BAJHANG,214,11,225,9,1,10,15,0,15,15,1,16,253,13,266,238,12,250
6,BAJURA,175,17,192,10,1,11,5,0,5,26,1,27,216,19,235,190,18,208
7,BANKE,500,30,530,44,12,56,13,0,13,283,22,305,840,64,904,557,42,599
8,BARA,596,31,627,66,6,72,9,0,9,381,19,400,1052,56,1108,671,37,708
9,BARDIYA,527,27,554,45,13,58,21,0,21,187,14,201,780,54,834,593,40,633
10,BHAKTAPUR,142,16,158,25,11,36,6,0,6,65,15,80,238,42,280,173,27,200
11,BHOJPUR,418,32,450,48,9,57,39,1,40,212,22,234,717,64,781,505,42,547
12,CHITWAN,481,72,553,154,43,197,23,1,24,502,54,556,1160,170,1330,658,116,774
13,DADELDHURA,199,11,210,17,2,19,8,0,8,24,0,24,248,13,261,224,13,237
14,DAILEKH,285,10,295,14,5,19,25,0,25,51,3,54,375,18,393,324,15,339
15,DANG,683,39,722,87,24,111,22,1,23,442,22,464,1234,86,1320,792,64,856
16,DARCHULA,170,9,179,17,0,17,10,0,10,35,0,35,232,9,241,197,9,206
17,DHADING,456,69,525,111,27,138,21,1,22,231,35,266,819,132,951,588,97,685
18,DHANKUTA,300,25,325,40,7,47,25,0,25,192,25,217,557,57,614,365,32,397
19,DHANUSHA,1115,10,1125,110,2,112,3,1,4,1885,3,1888,3113,16,3129,1228,13,1241
20,DOLAKHA,231,53,284,58,17,75,30,2,32,87,32,119,406,104,510,319,72,391
21,DOLPA,45,1,46,2,0,2,0,0,0,9,2,11,56,3,59,47,1,48
22,DOTI,70,0,70,5,0,5,9,0,9,17,0,17,101,0,101,84,0,84
23,GORKHA,364,46,410,109,37,146,14,1,15,345,31,376,832,115,947,487,84,571
24,GULMI,263,13,276,162,20,182,52,0,52,397,13,410,874,46,920,477,33,510
